[2016-01-03 11:38:02.908684][trace]AsyncCmd(0xbfe0ada4) free. parent=(nil), child=(nil), seq=0
[2016-01-03 11:53:46.409444][trace]AsyncCmd(0xbf925894) free. parent=(nil), child=(nil), seq=0
[2016-01-03 11:54:19.888058][trace]AsyncCmd(0xbfdfd634) free. parent=(nil), child=(nil), seq=0
[2016-01-03 11:56:25.580679][trace]AsyncCmd(0xbfcc4ce4) free. parent=(nil), child=(nil), seq=0
[2016-01-03 11:59:27.490122][trace]AsyncCmd(0xbf8c54d0) free. parent=(nil), child=(nil), seq=0
[2016-01-03 12:05:08.454462][trace]AsyncCmd(0xbffa0090) free. parent=(nil), child=(nil), seq=0
[2016-01-03 12:07:17.407660][trace]AsyncCmd(0xbf8ba4f0) free. parent=(nil), child=(nil), seq=0
[2016-01-03 12:09:30.678092][trace]AsyncCmd(0xbf949760) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:02:04.011796][trace]AsyncCmd(0xbfbdb350) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:06:32.466202][trace]AsyncCmd(0xbffb77f0) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:07:12.646089][trace]AsyncCmd(0xbfb3cc90) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:07:33.198084][trace]AsyncCmd(0xbfbc6330) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:08:01.910370][trace]AsyncCmd(0xbfb807c0) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:09:27.695527][trace]AsyncCmd(0xbfbf2550) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:11:37.981848][trace]AsyncCmd(0xbfefc200) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:11:59.810041][trace]AsyncCmd(0xbf943920) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:13:17.105755][trace]AsyncCmd(0xbf933ae0) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:16:38.041282][trace]AsyncCmd(0, 0xbf989750) done, ret = 0
[2016-01-03 14:16:38.055743][warn]freecmd(0, 0xbf989750) failed, ret=-1
[2016-01-03 14:16:38.059426][trace]AsyncCmd(0xbf989750) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:17:26.102177][trace]AsyncCmd(0, 0xbfd3fb20) done, ret = 0
[2016-01-03 14:17:26.106628][warn]freecmd(0, 0xbfd3fb20) failed, ret=-1
[2016-01-03 14:17:26.118668][trace]AsyncCmd(0xbfd3fb20) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:17:47.246155][trace]AsyncCmd(0, 0xbf812360) done, ret = 0
[2016-01-03 14:17:47.251289][warn]freecmd(0, 0xbf812360) failed, ret=-1
[2016-01-03 14:17:47.255361][trace]AsyncCmd(0xbf812360) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:23:02.104098][trace]AsyncCmd(0, 0xbff6c1a8) done, ret = 0
[2016-01-03 14:23:02.108925][warn]freecmd(0, 0xbff6c1a8) failed, ret=-1
[2016-01-03 14:23:02.113949][trace]AsyncCmd(0xbff6c1a8) free. parent=(nil), child=(nil), seq=0
[2016-01-03 14:23:29.374522][trace]AsyncCmd(0, 0xbfb65d18) done, ret = 0
